target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
0,0,1180,0,1.2301,0.649,2.4686,1.4865,921,1246,1017,690,250,499,815,583,0.9,0.5788,0.5788,0.5788
3,1,2793,0.4144,2.9274,1.6988,2.9926,0.6832,1182,1144,748,790,365,771,719,324,0.9,0.9,0.9,0.5788
1,0,990,0.2718,2.2333,2.3775,1.5076,2.628,1198,813,719,1115,693,788,392,297,0.9,0.5788,0.9,0.5788
0,0,1539,0,3.0432,0.2058,0.7211,0.1039,760,755,1165,1150,742,338,352,755,0.9,0.9,0.9,0.5788
4,1,769,0.7848,2.2649,0.3726,1.4979,2.3333,1012,1243,903,692,256,599,819,476,0.9,0.5788,0.9,0.9
0,1,895,0,1.4271,2.493,0.8915,3.1168,976,673,944,1232,830,564,257,520,0.5788,0.5788,0.5788,0.9
0,0,1191,0,2.1886,0.5226,2.43,1.2981,1221,1041,687,899,479,806,616,255,0.9,0.9,0.5788,0.9
0,0,604,0,1.7917,2.4601,1.4946,2.4431,1142,746,788,1186,755,723,310,378,0.9,0.9,0.5788,0.9
2,1,752,2.4771,1.0394,0.0582,2.1527,2.1122,1195,812,713,1106,688,787,398,284,0.5788,0.5788,0.5788,0.5788
1,1,631,1.1247,1.8732,1.8136,1.2662,1.7136,1246,906,680,1017,597,824,491,251,0.9,0.9,0.5788,0.5788
0,0,650,0,0.4122,2.0527,1.6886,2.2906,748,780,1161,1147,729,323,345,757,0.9,0.9,0.5788,0.9
0,0,677,0,2.5248,0.2387,0.3867,2.7365,1229,1070,691,851,438,798,656,291,0.5788,0.5788,0.9,0.5788
2,1,518,1.3829,0.8958,0.6679,1.303,1.576,1199,796,724,1113,683,776,375,299,0.5788,0.9,0.9,0.9
0,0,486,0,2.1553,2.0103,0.4951,0.9101,689,875,1231,1040,633,284,450,810,0.9,0.5788,0.5788,0.9
3,1,583,1.2681,0.3352,1.9488,2.7367,1.8499,1251,934,675,988,578,816,521,253,0.9,0.9,0.9,0.9
0,0,589,0,0.4758,1.144,2.1396,0.3208,1142,743,781,1177,752,725,328,366,0.9,0.9,0.9,0.5788
1,1,745,2.1637,2.5396,2.1266,2.924,2.0072,1075,1221,841,717,275,672,797,409,0.9,0.5788,0.5788,0.9
0,0,1016,0,3.0047,0.4125,1.9679,2.3549,687,859,1219,1067,638,285,439,808,0.9,0.9,0.9,0.5788
2,0,620,0.1316,1.0302,2.8935,2.6027,1.643,770,751,1163,1168,750,342,325,726,0.9,0.9,0.5788,0.5788
0,0,735,0,2.884,2.5401,3.0708,0.5438,1219,867,689,1050,644,799,453,283,0.9,0.5788,0.5788,0.5788
1,0,655,2.8392,2.7399,1.6845,2.8663,1.4637,757,1160,1158,758,347,349,743,739,0.9,0.5788,0.9,0.5788
1,0,1097,2.8325,0.1436,2.9461,1.426,2.7321,1088,714,838,1202,798,676,281,422,0.5788,0.5788,0.5788,0.9
0,0,626,0,0.107,0.058,1.4057,2.6311,1236,871,678,1052,610,813,451,272,0.5788,0.5788,0.5788,0.9
0,0,581,0,2.9433,0.6324,2.7102,0.8036,847,703,1074,1221,808,431,266,650,0.9,0.5788,0.9,0.5788
1,0,538,0.5536,1.7835,1.06,1.9069,0.3909,1102,1198,831,719,292,689,793,391,0.5788,0.5788,0.5788,0.9
0,0,473,0,0.4376,1.2709,0.5005,2.9671,750,766,1166,1162,729,332,351,741,0.9,0.9,0.9,0.9
1,1,690,2.9033,2.0014,0.2548,2.6588,2.7079,1250,952,685,972,564,824,525,264,0.9,0.9,0.5788,0.9
4,1,547,2.4786,1.8312,1.3167,0.9507,1.4293,801,1186,1122,724,306,391,773,697,0.5788,0.5788,0.9,0.9
3,0,1185,2.9805,1.3874,2.1755,0.741,2.421,729,798,1199,1116,697,297,398,777,0.5788,0.5788,0.5788,0.9
0,0,1407,0,2.7599,1.5933,0.0573,2.4446,739,1135,1178,772,354,327,710,757,0.9,0.9,0.9,0.9
4,0,563,2.7987,2.8092,1.4387,0.3161,1.2599,1172,781,745,1139,736,749,346,321,0.9,0.9,0.9,0.9
1,0,1425,3.1284,2.946,2.0346,3.1291,2.3129,855,694,1065,1215,816,449,286,629,0.5788,0.5788,0.9,0.5788
2,1,572,1.9277,1.7371,1.133,0.0788,2.1115,1203,1075,699,829,417,804,665,293,0.5788,0.9,0.9,0.9
4,0,641,0.0777,2.4595,1.6903,2.9524,1.689,808,1205,1114,728,291,384,785,687,0.5788,0.9,0.9,0.5788
0,0,1331,0,0.5351,3.0335,2.9692,1.5446,705,808,1200,1109,670,287,405,783,0.9,0.5788,0.9,0.5788
3,1,971,1.8096,0.559,0.2687,0.5868,1.1585,1069,693,835,1214,796,660,293,433,0.5788,0.5788,0.9,0.9
2,1,1056,2.2462,1.2224,0.1131,0.0178,2.0614,1236,964,668,958,553,823,531,253,0.5788,0.9,0.5788,0.5788
0,1,1362,0,0.3447,2.4976,2.727,0.3058,837,692,1084,1215,789,421,293,643,0.5788,0.9,0.9,0.9
1,1,1072,0.5657,0.2918,2.0826,0.0898,1.2081,841,713,1095,1203,790,405,278,675,0.9,0.5788,0.9,0.9
4,0,793,2.5058,1.7644,0.7155,2.7805,1.6149,830,1207,1101,701,281,401,783,689,0.5788,0.9,0.9,0.5788
0,0,606,0,0.3481,2.7179,0.1117,0.7014,738,777,1177,1133,721,330,364,749,0.9,0.5788,0.9,0.5788
